AppID,AppType,Followers,Positive_rev,Negative_rev,Positive_rev_per,Steam reviews,PlayTracker,VG Insights,SteamSpy
1729790,Game,286,404,166,70.88%,11.4 k,,17.1 k,37.0 k
368080,Game,"3,937",216,112,65.85%,11.5 k,1.19 M,35.4 k,28.0 k
572510,Game,137,18,1,94.74%,380,,570,6.0 k
1225870,Game,290,55,36,60.44%,1.8 k,,2.7 k,
1232510,Game,404,45,10,81.82%,1.1 k,,1.7 k,11.0 k
1066890,Game,"21,907","5,561",581,90.54%,122.8 k,318.9 k,184.1 k,288.0 k
817370,Game,129,35,10,77.78%,1.1 k,,1.6 k,9.0 k
1662060,Game,"4,582",175,103,62.95%,5.6 k,,8.3 k,
457140,Game,"360,706","96,421","3,395",96.60%,2.50 M,2.71 M,1.88 M,3.12 M
1774810,Game,10,1,1,50.00%,40,,60,1.0 k
1886290,Game,192,39,1,97.50%,800,,1.2 k,2.0 k
1514360,Game,"4,166",265,73,78.40%,6.8 k,19.1 k,10.1 k,28.0 k
1374280,Game,366,53,1,98.15%,1.1 k,,1.7 k,41.0 k
863490,Game,113,98,32,75.38%,3.3 k,209.0 k,16.6 k,45.0 k
396640,Game,"3,633",311,28,91.74%,11.9 k,64.6 k,17.4 k,15.0 k
726020,Game,326,70,20,77.78%,2.7 k,96.6 k,2.5 k,23.0 k
424060,Game,336,8,16,33.33%,840,278.8 k,1.2 k,12.0 k
1943590,Beta,,,,,,,,
1995240,Game,158,30,9,76.92%,780,,1.2 k,1.0 k
514870,Game,42,3,0,100.00%,75,,102,1.0 k
548290,Game,"1,169",126,134,48.46%,9.1 k,256.2 k,14.2 k,59.0 k
695420,Game,41,8,0,100.00%,240,16.5 k,350,1.0 k
1241110,Game,72,14,6,70.00%,400,,600,895.0 k
587490,Game,196,17,18,48.57%,1.1 k,62.7 k,882,8.0 k
546050,Game,"14,672","4,335",846,83.67%,129.5 k,469.1 k,200.9 k,707.0 k
301700,Game,222,169,97,63.53%,9.3 k,2.82 M,14.2 k,221.0 k
2004200,Game,7,2,5,28.57%,140,,210,1.0 k
1588070,Game,19,2,10,16.67%,240,,360,1.0 k
730310,Game,"32,475","3,246","6,191",34.40%,235.9 k,1.02 M,94.9 k,1.05 M
242530,Game,757,255,134,65.55%,15.6 k,1.08 M,63.5 k,136.0 k
1372570,Game,114,26,3,89.66%,580,,870,3.0 k
1345820,Game,"7,595","2,398",127,94.97%,50.5 k,291.6 k,75.8 k,65.0 k
420270,Game,"3,125",80,49,62.02%,4.5 k,603.9 k,17.0 k,26.0 k
435790,Game,"1,847","2,238",578,79.47%,98.6 k,4.29 M,218.3 k,435.0 k
926310,Game,689,263,28,90.38%,7.3 k,,7.4 k,16.0 k
788020,Game,87,6,2,75.00%,200,14.8 k,270,1.0 k
467400,Game,"1,942",58,11,84.06%,1.4 k,,2.1 k,5.0 k
856730,Game,25,1,4,20.00%,125,76.1 k,164,36.0 k
1106950,Game,53,1,0,100.00%,20,,30,15.0 k
1274570,Game,"61,536","56,289","5,037",91.79%,1.23 M,2.02 M,1.84 M,2.10 M
1470790,Game,350,29,28,50.88%,1.1 k,11.9 k,1.7 k,1.0 k
1087620,Game,115,14,2,87.50%,320,,480,7.0 k
1348430,Game,66,68,2,97.14%,1.4 k,,180,5.0 k
1547580,Game,45,7,1,87.50%,160,,240,3.0 k
1253680,Game,662,93,36,72.09%,2.6 k,16.7 k,3.9 k,18.0 k
1881210,Game,14,,,,,,,
497670,Game,145,27,7,79.41%,1.2 k,74.3 k,1.7 k,15.0 k
850040,Game,94,16,1,94.12%,425,20.4 k,704,5.0 k
7940,Game,"43,506","19,384","1,334",93.56%,828.7 k,2.78 M,1.02 M,2.22 M
741770,Game,34,11,4,73.33%,450,170.8 k,644,6.0 k
110630,Game,122,33,14,70.21%,1.9 k,410.1 k,7.6 k,17.0 k
572330,Game,468,82,48,63.08%,3.9 k,242.7 k,5.0 k,31.0 k
1683240,Game,38,10,12,45.45%,440,,660,7.0 k
567150,Game,121,79,22,78.22%,2.5 k,258.6 k,2.9 k,91.0 k
700880,Game,130,3,1,75.00%,120,8.8 k,133,127.0 k
1413090,Game,52,26,0,100.00%,520,,780,9.0 k
1610860,Game,75,18,1,94.74%,380,,570,1.0 k
1302840,Game,56,7,0,100.00%,140,,240,10.0 k
1305570,Game,150,11,9,55.00%,400,,600,10.0 k
1609730,Game,584,189,23,89.15%,4.2 k,824,6.4 k,73.0 k
717980,Game,600,73,9,89.02%,2.1 k,19.7 k,515,11.0 k
1417450,Game,18,1,0,100.00%,20,,30,19.0 k
778900,Game,13,1,0,100.00%,25,,45,6.0 k
1004200,Game,155,16,12,57.14%,560,,840,1.0 k
1506230,Game,105,101,28,78.29%,2.6 k,,3.8 k,7.0 k
638230,Game,"62,898","23,563","1,324",94.68%,497.7 k,1.12 M,746.1 k,617.0 k
1839080,Game,102,39,3,92.86%,840,,1.3 k,1.0 k
907460,Game,769,10,18,35.71%,700,,1.1 k,13.0 k
1307070,Game,143,43,0,100.00%,860,,1.3 k,7.0 k
1221640,Game,200,85,4,95.51%,1.8 k,77.4 k,2.7 k,16.0 k
703120,Game,76,13,8,61.90%,525,316.2 k,815,3.0 k
328710,Game,"1,128",65,39,62.50%,3.6 k,30.1 k,3.8 k,3.0 k
926140,Game,"10,154","1,864",167,91.78%,40.6 k,198.2 k,60.9 k,108.0 k
1700630,Game,982,133,82,61.86%,4.3 k,1.7 k,6.5 k,7.0 k
845290,Game,83,24,6,80.00%,750,,984,4.0 k
739720,Game,829,52,6,89.66%,1.5 k,,1.5 k,6.0 k
1776800,Game,30,2,0,100.00%,40,,60,10.0 k
873970,Game,152,15,14,51.72%,725,1.0 k,774,4.0 k
1238130,Game,13,,,,,,,
1593100,Game,74,15,6,71.43%,420,,630,7.0 k
1365900,Game,52,13,1,92.86%,280,,420,23.0 k
