AppID,primary genre
293520,Simulation 
502940,Casual 
1395560,Action 
1038680,Massively Multiplayer 
291690,Adventure 
1246200,Adventure 
1581010,Adventure 
1690250,Casual 
653210,Indie 
267360,Action 
1694430,RPG 
1886850,Simulation 
499910,Indie 
1863170,Strategy 
1644840,Casual 
1422880,Casual 
12460,Strategy 
410320,Action 
1345440,Action 
757600,Adventure 
952000,Action 
1735930,Indie 
336670,Free to Play 
1828410,Free to Play 
733420,Indie 
1528770,Racing 
542260,Casual 
369560,Adventure 
1494400,Casual 
394850,Action 
953900,Indie 
299480,Action 
1696230,Indie 
1530670,Action 
1260220,Indie 
1503530,Indie 
750960,Indie 
1898130,Casual 
523210,Indie 
1278170,Sports 
950400,Adventure 
766570,Simulation 
1694450,Casual 
1343220,Casual 
1672700,Action 
1860120,Free to Play 
1338020,Action 
1213420,Strategy 
1385820,Indie 
848460,Casual 
735650,Indie 
1048100,Action 
345700,Indie 
1873830,Casual 
65600,RPG 
674250,Action 
439250,Adventure 
1788650,Indie 
1239710,Simulation 
1275060,Indie 
940350,Indie 
868060,RPG 
1284550,Indie 
924670,Racing 
598590,Indie 
454330,Indie 
1723050,Action 
763230,Indie 
959710,Indie 
1140060,Indie 
1644920,Indie 
957070,Sports 
1270780,Action 
1302270,Simulation 
974930,RPG 
1017480,Indie 
676030,Strategy 
1728410,Indie 
1165280,Indie 
1095120,Adventure 
818390,Indie 
1245470,Sports 
839770,Strategy 
1874660,Indie 
562640,RPG 
360840,Indie 
1007890,Action 
1030840,Action 
1234450,Casual 
890130,Indie 
1896980,Casual 
368730,Indie 
1041300,Adventure 
572620,Indie 
1581500,Indie 
318260,Indie 
821880,Simulation 
886360,Casual 
1408480,Action 
696760,Simulation 
780210,Simulation 
1713640,Action 
451600,Action 
1109350,Strategy 
781240,Action 
929570,Adventure 
841830,Adventure 
1165460,Indie 
485980,Strategy 
679400,Strategy 
1514480,Indie 
1368750,Casual 
1121310,Simulation 
1453640,RPG 
1389360,Strategy 
429480,Indie 
1368400,Indie 
1005050,Casual 
529040,Casual 
694070,Action 
1311210,Indie 
1453660,Action 
587580,Simulation 
294440,Adventure 
1309290,Early Access 
364980,Casual 
269250,Indie 
1228870,Action 
633660,Strategy 
1274280,Action 
1791610,Action 
1127500,Strategy 
508650,Action 
358700,Simulation 
656740,Action 
1047950,RPG 
1076100,RPG 
648150,Action 
883160,Casual 
783840,Indie 
1487140,Indie 
1696810,Simulation 
1178000,Casual 
1138580,Simulation 
416090,Action 
595360,Action 
1581240,RPG 
1751990,Action 
1445500,Adventure 
1315240,Free to Play 
404530,Action 
1137650,Action 
1408380,Simulation 
1049690,Action 
612840,Casual 
1463120,Indie 
428410,Indie 
988110,Indie 
1921760,Simulation 
791370,RPG 
622460,Strategy 
883130,Sports 
913570,Indie 
1930230,Indie 
351490,Casual 
378360,Strategy 
1273450,Indie 
1059660,Indie 
820830,Simulation 
